Ship_Size,Engine_Power_kW,Speed_knots,Fuel_Consumption_tonnes_per_hour
Very Large,78312.54,21.3,500.08
Large,20788.83,17.2,53.77
Small,1770.92,14.3,0.25
Small,840.21,11.4,0.1
Very Large,63779.63,26.8,512.17
Very Large,95105.32,26.9,767.03
Large,44525.93,18.8,125.56
Medium,13644.63,15.9,10.83
Large,20221.96,18.5,56.07
Very Large,89318.2,21.9,587.1
Large,24889.17,20.3,75.95
Large,40323.04,25.0,151.04
Large,47476.51,23.4,166.3
Small,2292.63,14.1,0.32
Very Large,64535.06,29.2,565.34
Small,1952.87,10.4,0.2
Large,28793.54,20.8,89.91
Small,3643.77,11.7,0.43
Very Large,63587.49,20.1,384.37
Very Large,88686.59,23.1,614.5
Very Large,57562.01,21.4,370.34
Small,3749.66,13.5,0.51
Very Large,69242.59,22.1,459.26
Small,1789.87,13.7,0.24
Very Large,78072.32,28.3,663.31
Medium,13184.65,18.9,12.49
Very Large,97504.94,27.0,790.59
Very Large,70787.72,24.5,520.17
Very Large,95142.01,28.9,825.33
Large,38309.23,25.0,143.42
Very Large,51411.55,20.9,321.85
Small,2076.43,11.9,0.25
Large,26932.33,21.5,86.83
Small,3708.08,13.9,0.51
Medium,7665.02,19.0,7.29
Large,35226.15,18.4,97.34
Very Large,58616.8,20.2,354.87
Medium,10519.77,16.3,8.56
Medium,18453.19,19.3,17.8
Small,1331.44,13.4,0.18
Very Large,76501.23,21.3,489.03
Very Large,56242.57,24.9,420.77
Medium,16770.72,18.7,15.66
Large,31070.89,21.7,101.13
Very Large,99764.17,29.5,882.67
Large,33321.94,19.6,97.73
Medium,10456.42,19.0,9.93
Small,3695.47,14.4,0.53
Very Large,96345.51,25.0,723.69
Medium,8309.69,13.9,5.77
Very Large,61140.03,28.0,514.07
Large,25762.93,17.7,68.25
Small,4135.26,13.4,0.55
Large,31773.35,20.6,98.41
Very Large,78683.99,29.8,702.98
Small,1630.67,10.5,0.17
Very Large,66816.33,26.8,537.62
Large,38327.83,23.5,135.25
Small,3689.1,14.4,0.53
Large,32026.8,19.1,91.53
Large,48993.93,18.7,137.54
Very Large,67044.29,23.2,466.49
Small,4104.44,13.6,0.56
Small,1815.82,14.3,0.26
Large,39241.41,21.7,127.86
Very Large,99830.05,22.3,668.56
Medium,7332.7,16.7,6.13
Very Large,75560.7,22.4,507.69
Large,32983.79,20.6,101.95
Small,1916.53,12.0,0.23
Very Large,67159.69,25.3,509.71
Medium,11283.06,17.3,9.73
Very Large,82626.75,23.7,588.07
Very Large,69270.16,23.6,489.93
Small,2625.61,11.8,0.31
Large,49083.91,22.2,163.4
Very Large,65507.61,24.3,478.39
Medium,13846.29,17.4,12.08
Very Large,81542.14,26.1,639.56
Small,1491.11,13.3,0.2
Large,20764.38,17.2,53.57
Large,30846.66,22.4,103.55
Very Large,80885.31,25.2,611.09
Large,47754.64,20.5,146.98
Large,21710.53,15.4,50.12
Medium,18118.69,12.4,11.23
Large,22894.46,15.7,53.91
Large,28456.81,17.2,73.38
Very Large,72316.69,25.6,555.73
Large,25791.08,25.0,96.67
Small,739.98,10.7,0.08
Medium,18283.99,18.0,16.49
Medium,6990.33,17.9,6.26
Very Large,72233.37,29.3,635.27
Small,2482.94,13.3,0.33
Large,42354.55,18.4,116.77
Large,38477.93,23.9,137.99
Very Large,59287.95,23.3,414.1
Medium,7056.5,15.9,5.61
Large,22482.43,20.9,70.52
Small,1419.08,13.6,0.19
Medium,11822.45,18.2,10.76
Medium,9086.46,13.9,6.3
Medium,10221.34,13.8,7.06
Very Large,52492.47,20.9,328.93
Medium,12729.43,12.7,8.08
Large,25753.99,22.2,85.59
Medium,13579.88,18.0,12.24
Very Large,62582.64,29.0,543.86
Small,818.98,11.6,0.09
Small,4257.92,12.9,0.55
Small,3768.09,13.5,0.51
Large,43389.25,24.4,158.76
Very Large,85015.28,30.0,764.69
Large,40186.04,24.8,149.63
Very Large,84470.59,26.0,658.43
Very Large,63462.81,25.7,489.19
Medium,10562.51,18.0,9.49
Small,2665.31,14.6,0.39
Small,4086.47,14.0,0.57
Very Large,72850.77,28.0,612.09
Medium,17141.66,13.5,11.56
Large,33514.11,16.9,85.04
Medium,15293.54,17.2,13.17
Large,39081.29,25.0,146.44
Large,35231.93,19.1,100.78
Large,30848.85,17.8,82.17
Medium,11082.88,13.8,7.66
Medium,9578.44,12.8,6.14
Medium,12252.04,17.5,10.73
Small,4551.7,12.0,0.55
Very Large,79200.96,21.5,509.94
Medium,11467.77,15.1,8.68
Medium,8639.11,16.3,7.03
Medium,8867.29,12.3,5.46
Medium,18041.89,15.8,14.22
Very Large,68193.42,23.7,485.54
Medium,10710.02,16.8,9.0
Small,3155.61,11.2,0.35
Medium,7557.46,18.8,7.11
Large,26238.57,21.5,84.78
Small,3189.57,11.0,0.35
Small,514.82,10.2,0.05
Medium,5278.71,19.6,5.18
Very Large,57708.08,28.4,490.9
Very Large,96161.97,21.0,604.67
Medium,5443.29,14.8,4.02
Large,45067.66,18.8,127.13
Small,4750.32,10.8,0.52
Small,2341.15,13.6,0.32
Large,49486.41,15.4,114.01
Very Large,62760.11,26.0,489.63
Medium,13663.02,14.5,9.87
Large,38574.55,24.8,143.37
Medium,7727.33,16.8,6.49
Large,22286.55,20.5,68.64
Medium,12677.56,15.1,9.58
Very Large,50169.2,24.0,361.49
Small,2437.52,12.3,0.3
Large,47487.46,17.1,121.64
Medium,15292.69,14.6,11.19
Very Large,71831.57,22.7,488.97
Very Large,98221.84,21.7,640.16
Very Large,88383.77,26.7,706.87
Large,41947.26,16.7,105.36
Small,2466.61,12.0,0.3
Large,32669.76,19.9,97.35
Small,3700.43,11.9,0.44
Small,2293.54,10.4,0.24
Very Large,72667.68,28.9,629.94
Very Large,55636.53,20.8,347.21
Very Large,98549.61,26.4,779.25
Very Large,67916.56,23.3,474.48
Medium,13686.88,19.9,13.6
Medium,12407.09,14.5,8.99
Medium,14731.98,14.5,10.7
Medium,10126.82,17.4,8.81
Large,28747.56,18.3,78.77
Very Large,50198.09,24.9,375.29
Medium,16429.44,14.9,12.26
Very Large,66120.94,24.3,481.25
Medium,19827.55,17.7,17.53
Medium,8624.57,16.7,7.21
Large,29738.74,21.2,94.69
Small,2539.54,12.9,0.33
Medium,5264.52,16.4,4.32
Very Large,77862.38,26.5,618.45
Very Large,94667.15,26.1,741.65
Very Large,58376.52,21.6,377.61
Medium,5906.03,16.9,4.98
Large,42370.22,17.9,114.08
Large,45868.78,18.4,126.77
Very Large,53365.44,27.5,439.78
Small,3187.06,11.2,0.36
Very Large,67712.01,28.4,576.34
Large,38251.06,19.9,114.26
Small,834.34,13.5,0.11
Small,1816.28,12.7,0.23
Large,23776.92,23.6,84.11
Medium,10382.43,18.4,9.58
Medium,5015.44,15.8,3.96
Small,2796.82,12.3,0.35
Very Large,83021.22,29.4,731.39
Medium,18980.69,17.4,16.54
Medium,17813.37,17.8,15.83
Large,49141.89,18.2,134.06
Large,21461.58,17.9,57.65
Large,24787.32,23.9,88.81
Large,30494.1,19.7,90.27
Small,4365.67,13.5,0.59
Small,3151.55,12.2,0.38
Medium,5148.19,14.4,3.72
Medium,13746.39,12.4,8.55
Large,35895.89,17.7,95.48
Small,1982.17,12.9,0.26
Large,48642.61,22.2,161.7
Very Large,80011.27,24.1,578.42
Medium,19918.48,18.2,18.11
Medium,15546.61,12.9,10.04
Large,39617.53,21.2,126.0
Large,33540.87,23.5,118.12
Very Large,71700.0,22.6,486.26
Very Large,50318.86,27.1,409.19
Medium,12401.63,12.5,7.75
Small,964.19,10.8,0.1
Large,25185.82,21.0,79.48
Large,44767.41,18.1,121.7
Medium,13636.43,18.8,12.82
Small,3473.33,10.2,0.35
Medium,6474.67,12.9,4.18
Small,1337.41,10.6,0.14
Medium,18761.1,14.5,13.63
Medium,12706.21,13.2,8.36
Large,21866.68,15.9,52.07
Medium,10933.08,14.7,8.04
Very Large,93512.08,27.8,781.23
Large,49454.5,15.9,118.12
Small,2132.73,10.4,0.22
Small,915.81,12.5,0.11
Very Large,93572.6,29.0,814.68
Very Large,81305.45,23.9,582.26
Large,42003.24,15.6,98.49
Very Large,79552.38,28.9,688.62
Very Large,95441.36,29.5,844.7
Large,25222.02,23.9,90.52
Large,42128.33,23.0,145.18
Large,47020.54,21.8,154.05
Medium,10378.68,13.3,6.92
Medium,9227.9,19.9,9.2
Large,44688.51,19.4,129.76
Very Large,68925.06,26.9,556.77
Very Large,74104.06,24.6,547.67
Very Large,72023.4,27.0,583.9
Small,3225.97,10.6,0.34
Small,3179.97,12.6,0.4
Small,2364.35,12.5,0.3
Small,3611.06,10.4,0.38
Medium,18544.65,13.3,12.34
Large,36565.87,17.7,96.99
Very Large,81193.13,27.0,656.63
Large,29200.92,23.6,103.28
Very Large,93449.97,27.6,774.69
Large,47846.93,24.0,172.34
Small,905.04,12.2,0.11
Medium,13007.18,18.0,11.71
Large,29815.35,18.4,82.27
Small,3777.0,14.7,0.56
Medium,8549.65,19.6,8.37
Small,4134.01,11.0,0.45
Large,34779.93,24.0,125.26
Medium,7376.41,19.8,7.31
Medium,11649.8,13.4,7.79
Medium,16173.67,18.7,15.13
Large,39898.42,19.8,118.62
Large,43165.27,21.4,138.42
Large,41287.03,17.3,107.16
Medium,14922.79,15.1,11.29
Large,29593.32,18.4,81.77
Small,4531.69,11.4,0.52
Medium,13986.07,13.9,9.74
Very Large,84192.75,29.6,746.88
Small,3528.34,12.7,0.45
Medium,12485.85,12.2,7.63
Medium,8282.52,12.9,5.33
Large,35296.32,18.0,95.43
Small,2235.46,10.4,0.23
Medium,15680.53,13.7,10.77
Very Large,94734.06,20.5,581.27
Very Large,63907.7,30.0,575.07
Medium,9339.08,12.5,5.84
Medium,9509.78,14.1,6.7
Small,2822.28,14.6,0.41
Small,3831.41,13.9,0.53
Large,32763.47,22.4,110.29
Small,4529.59,14.5,0.66
Small,4607.97,13.3,0.61
Small,3694.13,10.4,0.38
Large,43190.96,24.2,156.78
Very Large,66937.71,27.1,544.85
Small,2370.78,13.0,0.31
Medium,14915.35,19.1,14.21
Medium,15363.77,18.4,14.13
Very Large,51716.58,22.0,341.88
Very Large,89314.7,24.1,646.51
Medium,13993.93,19.7,13.8
Large,43884.52,15.8,104.28
Very Large,60033.7,20.2,363.03
Small,2763.2,12.5,0.35
Very Large,97203.33,29.5,859.62
Very Large,70477.94,26.3,556.43
Large,39442.43,16.2,95.71
Large,48417.44,16.9,122.95
Medium,16731.98,17.1,14.3
Very Large,64407.26,26.3,507.47
Medium,18266.86,18.1,16.57
Very Large,82603.29,24.6,609.22
Large,29005.46,16.2,70.41
Medium,15528.1,16.5,12.84
Small,2442.68,10.3,0.25
Large,22343.64,18.6,62.25
Very Large,70476.06,29.1,614.77
Very Large,77786.14,26.1,608.28
Small,3017.33,12.6,0.38
Small,1781.09,13.3,0.24
Small,4240.17,11.0,0.46
Small,1896.49,10.3,0.2
Small,2843.89,14.9,0.42
Small,3984.35,11.6,0.46
Very Large,99961.14,28.5,854.58
Medium,15320.56,17.2,13.19
Very Large,81741.07,22.2,543.54
Medium,12405.79,19.1,11.83
Small,1595.96,11.9,0.19
Large,38990.64,17.6,102.93
Large,49394.03,18.7,138.44
Large,27456.73,18.0,74.16
Very Large,94253.04,22.8,645.18
Small,4023.07,11.8,0.48
Very Large,77733.93,24.0,558.83
Small,2553.35,14.2,0.36
Large,42768.79,19.3,123.8
Large,24487.69,18.8,69.22
Large,37508.02,15.4,86.44
Very Large,65789.64,21.8,431.19
Medium,11545.79,15.3,8.85
Very Large,98616.44,25.0,738.76
Medium,9637.89,16.3,7.83
Small,3688.67,10.2,0.38
Large,35902.79,15.3,82.18
Large,39957.89,18.7,112.19
Large,45692.79,22.7,155.56
Medium,16956.49,19.6,16.64
Large,35860.2,20.3,109.2
Very Large,57323.54,28.7,493.16
Large,42474.46,17.4,110.55
Very Large,79902.29,21.9,525.47
Large,22698.32,18.1,61.61
Large,30363.31,23.3,106.26
Large,28469.67,16.8,71.83
Medium,16773.02,19.8,16.61
Very Large,50123.43,29.2,438.73
Medium,17259.41,17.2,14.85
Very Large,82652.8,21.9,541.94
Medium,13032.78,19.9,12.98
Very Large,61901.29,28.4,526.94
Medium,16534.76,14.3,11.78
Medium,16603.48,19.0,15.8
Very Large,91828.15,23.0,632.29
Small,1183.49,10.9,0.13
Large,43374.12,21.1,136.99
Small,1815.02,12.7,0.23
Large,44240.34,18.9,125.22
Small,1871.88,11.1,0.21
Very Large,66665.89,24.4,488.02
Small,1645.17,14.3,0.24
Very Large,78680.29,25.1,591.95
Very Large,85030.61,25.9,661.66
Large,47817.87,15.6,112.23
Medium,13804.38,14.6,10.1
Large,33926.75,18.3,93.03
Very Large,88311.58,26.6,705.12
Small,4988.05,13.9,0.7
Very Large,92790.89,21.1,587.14
Small,4294.67,10.1,0.44
Medium,9173.52,15.2,6.99
Medium,8402.71,13.8,5.78
Very Large,87491.18,21.4,562.71
Small,2392.3,14.2,0.34
Very Large,84065.92,26.1,657.2
Medium,18673.24,14.6,13.64
Small,4608.66,12.2,0.56
Large,45637.57,15.8,108.24
Very Large,76015.84,29.9,681.46
Very Large,52006.44,26.1,407.15
Small,2666.51,15.0,0.4
Very Large,76881.53,28.3,653.46
Medium,9964.68,16.0,7.98
Very Large,97456.61,23.6,689.78
Very Large,94448.64,27.5,779.95
Large,23857.05,24.8,88.92
Large,32484.19,20.0,97.6
Medium,18480.09,14.0,12.89
Small,2842.58,11.8,0.33
Medium,13933.24,16.9,11.75
Large,46598.39,22.3,156.16
Medium,10368.33,18.4,9.54
Small,2032.48,14.1,0.29
Very Large,77558.23,29.7,690.93
Medium,18737.87,19.4,18.16
Small,783.4,14.4,0.11
Large,37956.43,16.8,95.57
Medium,19201.51,16.2,15.59
Medium,17438.79,12.6,11.0
Small,3208.14,14.6,0.47
Medium,18112.55,12.9,11.7
Very Large,71155.27,22.5,480.79
Medium,11778.77,19.5,11.5
Small,4953.62,10.7,0.53
Large,48123.22,17.8,128.27
Medium,5037.83,15.0,3.78
Medium,15097.11,14.2,10.7
Medium,11580.67,15.5,8.95
Very Large,78317.8,26.8,630.57
Medium,9625.33,18.6,8.94
Medium,19219.54,14.9,14.3
Very Large,68056.88,26.2,535.48
Medium,7683.18,17.2,6.61
Large,47600.47,15.5,110.41
Very Large,86515.26,24.0,622.52
Medium,17930.1,12.3,11.02
Very Large,91224.01,20.9,571.03
Very Large,91942.58,26.2,723.52
Small,3919.85,11.1,0.43
Large,41277.86,19.2,118.99
Medium,13376.74,12.9,8.63
Small,3678.71,12.1,0.44
Medium,14851.38,14.0,10.36
Very Large,75067.14,26.2,590.93
Large,24100.7,18.6,67.31
Medium,18366.55,14.6,13.38
Very Large,72240.17,29.9,647.73
Very Large,77395.72,29.3,679.53
Medium,11204.43,17.1,9.56
Medium,6041.25,12.1,3.64
Small,922.09,13.3,0.12
Very Large,92269.35,26.1,722.26
Medium,12198.75,15.1,9.18
Small,1246.23,10.3,0.13
Small,1954.89,11.0,0.22
Medium,15057.7,13.7,10.35
Small,1677.42,11.2,0.19
Very Large,75441.07,29.2,661.29
Very Large,91633.3,20.4,559.93
Medium,15137.22,17.0,12.87
Medium,16721.52,15.7,13.09
Small,2237.31,12.2,0.27
Small,1829.79,12.3,0.23
Small,785.52,14.9,0.12
Very Large,86627.79,20.4,529.98
Medium,12240.65,13.1,8.01
Small,4297.37,14.6,0.63
Very Large,52601.49,24.4,384.76
Medium,13710.44,18.7,12.85
Large,26017.52,18.4,71.96
Small,4043.55,12.3,0.5
Large,34510.7,23.4,120.98
Very Large,55026.58,21.1,348.37
Medium,16774.94,13.8,11.61
Very Large,92697.31,28.3,787.06
Very Large,79775.21,27.2,651.62
Medium,6969.36,17.3,6.03
Small,3213.03,11.4,0.37
Medium,19264.81,12.8,12.37
Medium,12289.73,15.4,9.47
Very Large,69309.79,26.5,551.01
Small,1427.63,11.3,0.16
Small,2845.79,12.4,0.35
Very Large,82605.42,26.1,645.98
Very Large,92905.82,21.6,602.53
Very Large,98450.09,25.0,737.42
Very Large,58568.22,30.0,526.37
Small,3945.15,14.1,0.56
Large,39982.89,24.1,144.7
Very Large,96835.97,25.0,725.12
Small,1831.75,11.8,0.22
Very Large,60297.43,24.2,438.42
Medium,10804.09,15.7,8.46
Very Large,50889.74,27.5,419.76
Large,28668.61,20.3,87.24
Small,601.8,12.9,0.08
Medium,17236.94,12.3,10.59
Very Large,95320.76,29.2,834.57
Medium,11087.78,17.3,9.59
Very Large,78097.71,24.1,564.5
Large,25586.97,22.2,85.36
Small,956.34,10.7,0.1
Medium,10510.65,13.2,6.93
Very Large,89698.39,26.1,702.45
Large,33242.13,17.9,89.39
Small,2128.79,11.6,0.25
Small,752.5,13.0,0.1
Large,37885.89,24.4,138.8
Large,21333.7,19.6,62.71
Medium,12461.55,17.7,11.06
Small,1126.75,13.5,0.15
Small,1506.77,12.3,0.18
Very Large,57868.77,27.6,479.78
Small,4371.65,12.6,0.55
Large,25776.54,22.7,87.8
Medium,15223.36,12.7,9.66
Small,3580.87,14.6,0.52
Large,48972.01,24.7,181.49
Very Large,58080.83,26.3,458.51
Medium,15340.11,15.1,11.62
Large,24568.52,17.5,64.58
Medium,17445.29,17.2,14.97
Small,2106.66,14.7,0.31
Large,38947.34,19.0,110.89
Small,3081.79,11.6,0.36
Medium,11560.45,15.8,9.12
Medium,6403.97,14.2,4.55
Very Large,84683.85,23.9,607.03
Small,859.74,11.9,0.1
Large,48474.59,24.4,177.69
Small,953.0,12.2,0.12
Small,3202.46,10.7,0.34
Small,1688.85,11.5,0.19
Very Large,93391.4,20.9,586.46
Large,21738.37,23.8,77.57
Medium,6786.41,13.5,4.6
Medium,6222.67,12.3,3.83
Large,20305.25,22.0,66.87
Medium,11255.03,18.5,10.41
Small,1437.21,13.6,0.2
Medium,5291.74,13.4,3.54
Medium,8730.74,13.3,5.83
Small,1355.84,10.6,0.14
Medium,9650.0,19.7,9.52
Small,4888.45,12.9,0.63
Medium,14357.11,15.0,10.78
Very Large,90767.71,26.5,720.75
Very Large,64357.21,28.5,549.86
Very Large,53242.65,22.7,362.09
Large,32144.96,15.4,74.24
Small,3078.27,12.4,0.38
Very Large,77184.82,22.7,526.78
Very Large,79104.8,28.5,675.77
Medium,17453.0,16.4,14.28
Very Large,86668.01,27.4,711.99
Very Large,99129.39,26.9,800.64
Small,745.61,12.8,0.1
Medium,19712.25,17.0,16.77
Very Large,67525.51,27.9,565.64
Small,4578.24,13.8,0.63
Small,2459.9,14.8,0.36
Large,35932.04,24.0,129.38
Medium,13665.43,14.4,9.83
Large,35489.48,16.0,85.0
Very Large,65471.35,24.8,487.65
Large,44138.67,19.7,130.27
Medium,19960.36,14.3,14.31
Medium,8142.03,12.3,5.01
Very Large,72353.42,25.3,549.23
Small,4931.34,12.5,0.62
Small,2999.61,11.4,0.34
Large,33474.16,18.3,92.13
Very Large,69061.76,25.2,522.63
Large,27813.06,17.1,71.47
Medium,15947.68,17.7,14.1
Very Large,97841.3,26.4,776.09
Large,36693.33,21.8,120.25
Large,32099.3,19.7,94.89
Very Large,51012.43,25.4,389.15
Small,3841.85,12.5,0.48
Very Large,66552.68,23.6,470.38
Large,45278.68,20.9,141.73
Medium,17988.08,14.8,13.33
Medium,16281.19,14.9,12.11
Medium,19855.35,18.6,18.47
Very Large,81913.78,21.4,525.1
Large,29792.93,15.5,69.28
Very Large,55778.14,28.4,475.67
Very Large,76385.26,20.1,460.26
Large,41350.02,24.4,151.16
Very Large,95284.22,24.1,687.81
Medium,16318.96,17.5,14.29
Small,587.39,12.5,0.07
Large,26563.42,23.7,94.48
Small,1690.33,10.9,0.18
Very Large,65759.97,27.2,536.79
Very Large,74505.1,21.1,471.61
Medium,15290.25,16.8,12.86
Medium,10615.11,13.1,6.94
Large,28463.35,20.4,87.02
Small,2725.55,12.4,0.34
Medium,12168.24,18.5,11.27
Medium,8075.29,12.0,4.85
Medium,10485.51,13.1,6.87
Small,3856.15,10.4,0.4
Very Large,73391.62,22.1,486.5
Medium,5231.91,12.9,3.38
Medium,12670.38,17.0,10.74
Very Large,95919.78,27.9,802.6
Large,37666.34,24.9,140.88
Small,662.53,13.0,0.09
Large,41041.1,17.1,105.19
Large,45503.11,18.2,124.37
Small,3922.05,12.9,0.51
Medium,8043.59,19.3,7.76
Very Large,99853.74,29.5,884.96
Very Large,95363.25,21.4,610.96
Medium,12989.49,13.8,8.96
Large,39995.41,19.1,114.67
Large,49083.76,24.2,178.08
Large,32932.56,24.3,120.12
Very Large,94109.99,26.9,759.07
Medium,16408.14,19.6,16.09
Very Large,97966.76,21.8,639.32
Small,2633.99,14.4,0.38
Large,46152.17,20.1,139.22
Large,26689.58,17.8,71.37
Very Large,79791.74,20.1,482.01
Large,42180.73,18.6,118.0
Large,48194.8,17.5,126.52
Small,1532.01,12.2,0.19
Large,35041.63,23.8,125.21
Medium,19435.09,12.1,11.78
Very Large,94211.94,24.0,678.57
Very Large,50748.99,20.7,315.23
Very Large,95902.38,22.5,646.05
Medium,5673.4,17.5,4.97
Medium,8330.54,16.0,6.68
Medium,19197.64,12.0,11.56
Large,41337.22,23.6,146.37
Medium,18280.84,16.9,15.49
Very Large,71681.0,21.1,454.19
Medium,11868.11,16.1,9.53
Small,575.2,12.5,0.07
Very Large,76735.32,23.3,536.9
Medium,13371.63,13.8,9.22
Medium,6552.19,15.7,5.15
Small,1950.45,14.6,0.28
Medium,10902.72,15.7,8.56
Very Large,52424.87,22.8,359.2
Small,4612.99,13.3,0.61
Large,41518.49,15.2,94.6
Medium,17443.6,13.3,11.57
Large,22259.6,21.4,71.49
Large,36931.35,24.9,138.11
Medium,14987.85,17.9,13.4
Very Large,79643.16,25.2,601.1
Very Large,60724.69,22.9,416.98
Small,4161.31,10.4,0.43
Medium,14435.86,16.2,11.66
Very Large,82876.35,21.4,533.22
Small,1924.48,11.7,0.22
Very Large,54414.93,29.7,484.93
Large,35224.23,24.3,128.2
Medium,18643.44,15.6,14.58
Very Large,81340.18,25.0,611.12
Very Large,93845.07,20.3,571.83
Small,4593.55,11.5,0.53
Very Large,57068.77,27.2,466.23
Small,1787.5,11.3,0.2
Small,798.17,11.6,0.09
Small,3961.96,14.6,0.58
Medium,9961.37,17.8,8.88
Medium,15037.96,15.9,11.99
Medium,14710.66,16.2,11.9
Very Large,51667.18,24.6,380.58
Large,31564.51,18.5,87.37
Very Large,72704.68,24.3,529.74
Medium,15646.03,18.5,14.47
Very Large,53675.41,21.9,352.9
Very Large,95085.97,21.6,617.19
Large,21292.53,16.6,52.91
Large,27671.04,22.6,93.95
Very Large,53596.66,22.0,353.16
Medium,12222.58,14.4,8.82
Very Large,56210.16,29.4,496.42
Medium,19594.32,12.4,12.15
Small,1502.41,14.2,0.21
Very Large,55356.04,23.6,391.5
Large,27734.77,21.9,91.1
Large,40429.88,24.8,150.51
Large,20444.1,17.7,54.23
Very Large,83067.15,21.1,526.58
Large,42895.7,17.4,112.05
Very Large,93808.59,20.0,563.12
Large,49997.03,23.7,177.7
Medium,7175.95,18.9,6.77
Large,48700.27,15.2,111.28
Large,47550.25,16.2,115.75
Large,33993.41,20.8,105.84
Very Large,78632.71,24.3,574.18
Very Large,92311.6,23.2,642.44
Very Large,54238.48,29.8,484.13
Very Large,68989.51,26.0,537.81
Small,2318.61,14.8,0.34
Small,1921.24,13.1,0.25
Small,554.22,14.4,0.08
Small,826.75,11.2,0.09
Medium,14463.91,12.8,9.24
Small,774.98,12.2,0.09
Large,43915.34,24.4,160.68
Very Large,96240.27,23.3,672.62
Large,24896.6,15.2,56.85
Very Large,73296.64,26.7,586.31
Small,3108.78,10.7,0.33
Medium,12043.71,19.3,11.62
Large,42669.83,21.0,134.69
Large,34346.66,21.4,110.14
Very Large,75537.68,29.0,656.64
Medium,13757.56,12.5,8.62
Small,2531.25,12.8,0.32
Small,1228.23,12.7,0.16
Large,41799.11,17.1,107.44
Medium,6104.76,12.1,3.68
Small,1314.64,11.4,0.15
Small,1768.03,13.1,0.23
Large,43954.4,22.2,146.09
Medium,16961.97,18.7,15.83
Medium,9142.79,15.2,6.94
Large,26365.35,22.4,88.53
Small,4842.02,11.3,0.55
Large,39433.13,22.0,130.23
Small,4295.77,12.0,0.52
Very Large,58217.03,20.2,352.89
Large,25559.12,15.4,59.01
Large,37244.9,21.0,117.52
Large,33498.15,22.2,111.34
Large,49230.76,17.7,130.79
Large,38921.19,15.4,90.12
Very Large,84055.47,22.2,560.76
Very Large,83554.7,20.2,505.52
Small,4985.7,10.2,0.51
Medium,13800.74,13.7,9.48
Small,1113.59,13.1,0.15
Small,1144.26,12.5,0.14
Small,4397.48,12.9,0.57
Small,1356.24,10.8,0.15
Very Large,58543.52,29.9,524.97
Very Large,65081.04,28.7,559.88
Very Large,70608.65,23.1,488.73
Small,3687.75,12.6,0.46
Small,1804.26,11.5,0.21
Very Large,81838.79,24.4,598.74
Small,1854.39,14.7,0.27
Large,28217.07,24.7,104.7
Large,36850.8,23.1,127.62
Large,24865.45,16.4,61.13
Large,41679.51,15.9,99.21
Medium,8611.12,13.0,5.58
Small,3129.99,11.1,0.35
Small,686.91,12.1,0.08
Small,1276.39,10.1,0.13
Large,35740.26,17.6,94.54
Small,4144.75,13.1,0.54
Medium,10480.19,13.7,7.17
Medium,18583.77,19.0,17.63
Medium,11797.52,14.0,8.27
Very Large,83916.31,22.5,566.58
Very Large,79713.64,21.4,512.79
Medium,6646.67,17.2,5.71
Medium,8986.07,12.5,5.6
Large,43979.76,22.3,146.81
Medium,11990.51,16.3,9.76
Medium,9576.68,15.2,7.27
Small,4092.55,13.9,0.57
Small,2085.56,12.5,0.26
Large,29850.33,17.2,77.22
Small,1333.16,10.8,0.14
Medium,10069.86,16.6,8.36
Small,2920.82,11.2,0.33
Large,49730.02,16.7,124.77
Small,2799.97,14.9,0.42
Medium,18997.45,15.9,15.1
Small,4445.93,12.0,0.53
Large,24260.66,22.5,81.94
Large,49185.73,20.4,150.32
Large,41082.9,20.5,126.24
Large,37713.12,21.5,121.73
Small,2649.18,14.5,0.38
Medium,8112.95,13.7,5.54
Medium,5147.91,12.1,3.11
Medium,17686.44,14.4,12.7
Very Large,88978.9,23.6,630.24
Very Large,54763.1,22.6,370.8
Large,30115.63,16.7,75.24
Small,1353.15,14.0,0.19
Medium,9791.41,18.0,8.81
Very Large,71686.41,24.1,518.58
Medium,9312.8,13.0,6.07
Small,4092.41,10.5,0.43
Large,23159.14,23.3,80.78
Medium,19217.94,18.6,17.83
Very Large,89322.17,29.1,780.51
Large,38319.26,21.1,121.45
Very Large,89781.76,27.7,745.22
Medium,16393.71,14.8,12.1
Very Large,67176.65,29.7,598.64
Very Large,98261.38,27.0,795.32
Large,44475.18,18.9,126.37
Very Large,75600.04,29.1,659.01
Large,38749.6,16.9,98.14
Medium,14934.73,16.0,11.95
Small,2969.36,10.8,0.32
Medium,5810.59,16.3,4.72
Very Large,89617.6,23.3,627.02
Very Large,79288.02,23.0,547.67
Very Large,84408.65,20.6,522.09
Very Large,91922.22,25.6,705.27
Medium,9848.77,14.0,6.89
Small,1453.4,11.3,0.16
Very Large,57465.06,21.8,375.13
Medium,5940.43,19.0,5.64
Large,20558.33,21.3,65.56
Very Large,64512.56,24.6,475.23
Small,3515.73,15.0,0.53
Medium,15116.92,14.4,10.85
Small,1711.81,12.1,0.21
Medium,6174.46,16.4,5.08
Small,2583.08,13.2,0.34
Very Large,82313.17,29.2,721.88
Large,23285.19,22.7,79.43
Very Large,78264.62,25.5,599.17
Small,1767.49,12.9,0.23
Large,35605.38,17.2,91.71
Medium,11434.17,12.9,7.36
Small,4271.42,14.2,0.61
Very Large,51118.31,26.4,404.5
Small,4315.83,13.6,0.59
