Ship_Type,Ship_Size,Fuel_Level_tonnes,Ship_Load_%,Wind_Speed_knots,Precipitation_mm_hr,Wave_Height_m,Storm_Severity,Distance_to_Disaster_km,Adjusted_Speed_knots
Tanker,Large,173.42,93.0,27.35,16.62,9.21,Medium,473.7,12.52
Tanker,Small,25.29,64.0,39.18,7.35,8.89,Medium,130.98,1.71
Cargo,Small,29.74,90.0,7.09,43.67,3.07,Low,356.07,7.83
Cargo,Large,165.91,98.0,13.04,10.61,2.56,Low,40.74,14.09
Container,Medium,62.0,87.0,21.68,14.7,5.42,Medium,332.42,9.0
Tanker,Large,123.37,83.0,6.81,35.33,5.11,Medium,229.97,11.14
Tanker,Medium,82.38,98.0,0.89,34.18,2.14,Low,284.55,13.1
Container,Small,35.94,78.0,13.48,40.02,7.81,Medium,92.04,2.06
Container,Small,27.29,84.0,34.61,9.19,7.14,Medium,216.78,2.94
Cargo,Small,27.52,79.0,1.74,17.61,1.36,Low,383.14,9.06
Container,Medium,95.55,97.0,17.16,6.29,5.05,Low,383.54,13.55
Tanker,Medium,88.35,63.0,30.49,27.05,9.12,Medium,118.78,5.81
Tanker,Medium,66.31,80.0,38.13,14.63,5.23,Medium,176.3,6.64
Tanker,Medium,82.77,87.0,39.42,34.45,14.09,High,1.91,0.0
Tanker,Large,108.24,92.0,16.88,0.02,2.18,Low,44.98,14.19
Container,Large,183.41,83.0,38.02,2.98,16.15,High,63.37,3.06
Passenger,Large,133.05,96.0,1.42,21.63,1.62,Low,146.83,15.6
Tanker,Large,105.79,98.0,29.84,47.91,9.59,High,379.51,6.39
Container,Small,43.96,63.0,25.71,44.54,11.45,High,255.13,0.23
Container,Small,43.43,76.0,9.98,49.7,4.41,Medium,396.3,5.43
Passenger,Small,32.36,61.0,20.29,20.84,5.22,Medium,377.45,5.22
Container,Medium,68.0,73.0,5.18,2.33,1.29,Low,293.57,13.7
Passenger,Medium,79.1,81.0,34.86,15.3,15.36,High,249.93,2.91
Passenger,Medium,74.01,96.0,14.32,33.79,4.33,Medium,465.66,10.43
Passenger,Large,135.58,94.0,25.04,6.76,8.48,Medium,284.64,11.01
Tanker,Small,44.53,65.0,6.35,15.0,1.89,Low,241.41,7.41
Cargo,Small,29.73,64.0,8.25,2.81,1.91,Low,434.56,9.49
Passenger,Small,38.12,84.0,39.68,23.75,8.89,Medium,35.72,0.41
Tanker,Large,166.18,81.0,30.12,10.45,11.31,Medium,328.01,10.83
Tanker,Large,152.73,71.0,38.48,4.56,12.18,High,56.51,3.33
Container,Large,180.06,96.0,11.83,20.56,5.62,Medium,409.91,12.93
Cargo,Large,168.16,97.0,6.58,17.56,2.11,Low,396.33,17.87
Container,Medium,73.19,76.0,20.12,26.88,3.43,Medium,251.8,8.23
Passenger,Large,194.0,96.0,19.79,37.45,9.24,Medium,330.52,11.04
Tanker,Small,45.0,75.0,7.0,5.63,1.3,Low,386.31,9.07
Cargo,Small,48.37,89.0,29.33,39.56,7.8,Medium,241.65,2.78
Tanker,Large,172.97,79.0,14.47,1.31,3.28,Low,452.98,18.25
Passenger,Small,31.42,65.0,7.45,22.16,4.08,Low,218.52,6.76
Passenger,Medium,94.74,97.0,13.28,29.37,6.12,Medium,446.01,10.2
Cargo,Large,191.49,78.0,22.55,47.85,6.31,Medium,291.37,10.6
Cargo,Medium,72.73,89.0,29.06,28.7,11.29,Medium,213.12,6.58
Tanker,Medium,65.17,75.0,19.28,7.94,7.79,Medium,2.05,5.72
Tanker,Medium,84.62,61.0,21.02,25.88,6.67,Medium,147.78,6.84
Cargo,Small,42.14,64.0,5.56,19.79,2.09,Low,433.96,9.26
Tanker,Large,193.14,80.0,36.59,23.97,14.8,High,214.36,4.35
Passenger,Medium,59.31,88.0,37.15,9.85,13.29,High,210.73,2.72
Passenger,Large,112.95,73.0,27.34,25.04,4.84,Medium,244.71,10.5
Container,Small,39.99,88.0,0.71,7.5,0.64,Low,143.15,6.98
Tanker,Small,48.51,88.0,21.48,37.2,8.21,Medium,245.78,3.22
Cargo,Medium,55.14,88.0,25.17,29.7,11.59,Medium,187.88,6.47
Container,Medium,54.06,80.0,39.79,3.93,7.21,Medium,454.72,9.36
Tanker,Medium,63.85,97.0,39.84,44.48,10.32,High,281.98,2.91
Container,Small,42.23,80.0,34.3,30.82,12.43,High,417.08,1.6
Passenger,Small,31.44,78.0,2.55,15.81,1.54,Low,343.44,8.64
Cargo,Large,170.59,68.0,38.13,2.28,9.82,Medium,106.3,8.53
Cargo,Large,146.3,72.0,24.51,31.61,11.35,Medium,433.83,11.75
Container,Large,160.45,62.0,32.04,18.67,11.38,Medium,43.64,7.72
Passenger,Medium,79.72,85.0,16.29,45.38,8.53,Medium,224.32,7.27
Container,Medium,96.05,70.0,12.79,1.74,2.15,Low,119.58,11.51
Cargo,Large,109.92,72.0,18.53,1.96,7.35,Medium,268.78,11.39
Tanker,Large,182.85,91.0,5.87,47.46,4.04,Low,150.02,14.65
Tanker,Small,48.14,73.0,14.28,48.24,4.03,Medium,361.41,4.93
Passenger,Small,43.97,70.0,34.3,1.39,6.72,Medium,468.46,5.67
Tanker,Medium,75.19,67.0,1.52,35.8,1.96,Low,354.54,13.76
Passenger,Small,44.85,91.0,6.04,11.07,2.26,Low,177.66,6.83
Passenger,Medium,67.01,65.0,5.0,35.07,2.91,Low,300.03,12.96
Tanker,Medium,57.57,78.0,16.12,43.44,10.15,Medium,444.26,9.35
Tanker,Small,40.72,80.0,39.88,5.04,18.09,High,135.01,0.0
Container,Medium,58.18,87.0,6.93,11.94,3.58,Low,59.1,10.85
Passenger,Medium,64.17,85.0,5.82,1.2,1.81,Low,65.38,11.36
Container,Large,136.09,92.0,36.6,2.19,15.59,High,247.43,5.04
Tanker,Small,21.59,62.0,35.28,1.48,7.37,Medium,366.07,4.53
Passenger,Small,45.79,72.0,1.29,40.03,2.42,Low,328.63,7.98
Cargo,Small,32.39,71.0,30.07,14.91,8.48,Medium,226.94,3.02
Container,Large,199.59,66.0,26.22,24.66,5.65,Medium,364.65,11.68
Passenger,Large,163.6,72.0,30.71,39.39,5.93,Medium,316.98,10.65
Cargo,Large,183.73,72.0,19.78,24.75,7.63,Medium,314.12,11.29
Cargo,Small,48.52,81.0,39.66,21.46,6.59,Medium,101.19,1.34
Passenger,Small,30.78,87.0,1.75,0.58,0.71,Low,156.29,7.19
Cargo,Medium,88.54,75.0,9.37,28.4,5.81,Medium,172.21,7.7
Container,Small,21.09,89.0,15.86,6.24,2.93,Low,404.1,8.63
Passenger,Small,48.96,73.0,17.99,38.23,7.1,Medium,387.56,4.9
Passenger,Small,35.1,72.0,36.85,12.89,15.22,High,126.34,0.0
Tanker,Medium,73.35,82.0,22.4,33.71,6.5,Medium,27.58,5.43
Cargo,Large,126.05,61.0,1.8,32.31,2.46,Low,383.89,17.66
Tanker,Medium,87.76,63.0,16.31,30.83,8.97,Medium,204.93,7.32
Container,Small,41.87,77.0,16.66,13.35,3.02,Low,109.9,5.5
Cargo,Small,28.73,98.0,38.62,13.35,4.95,Medium,58.51,1.29
Tanker,Small,37.7,89.0,23.97,43.15,13.92,High,6.41,0.0
Container,Medium,98.6,64.0,25.43,0.64,12.3,Medium,213.86,7.22
Container,Large,153.5,94.0,28.53,9.08,8.13,Medium,169.88,9.68
Passenger,Medium,86.66,89.0,30.8,30.51,5.23,Medium,348.24,8.41
Passenger,Medium,66.8,84.0,25.4,40.85,10.87,High,488.33,5.71
Tanker,Medium,94.22,93.0,9.49,17.92,2.96,Low,103.39,11.1
Tanker,Small,44.46,76.0,34.96,32.67,18.23,High,121.52,0.0
Passenger,Small,34.31,69.0,29.28,27.86,13.63,High,168.65,0.0
Passenger,Large,168.26,80.0,29.67,3.23,10.84,Medium,232.97,10.1
Cargo,Small,38.44,82.0,39.86,31.09,10.08,High,348.85,0.87
Container,Medium,80.18,82.0,32.1,40.7,14.25,High,176.02,1.92
Cargo,Medium,75.23,83.0,33.17,49.62,9.63,High,52.1,0.91
Container,Large,115.93,98.0,38.06,1.48,4.45,Medium,365.17,11.67
Container,Small,24.04,96.0,6.05,33.0,3.49,Low,397.32,8.46
Container,Medium,75.44,95.0,19.91,20.73,6.92,Medium,123.82,6.74
Cargo,Large,196.2,92.0,23.22,0.49,9.43,Medium,68.38,8.97
Passenger,Medium,92.77,98.0,13.17,30.72,7.41,Medium,263.9,8.23
Cargo,Large,172.23,64.0,33.58,6.12,8.43,Medium,104.16,8.8
Cargo,Large,109.74,71.0,30.5,18.93,9.48,Medium,187.08,9.42
Tanker,Small,36.67,80.0,28.84,13.07,8.96,Medium,388.68,4.69
Cargo,Medium,67.79,94.0,39.89,18.06,10.07,Medium,109.8,5.34
Cargo,Small,21.08,80.0,10.38,24.63,5.36,Low,403.13,8.28
Cargo,Medium,56.43,90.0,29.42,17.96,9.98,Medium,337.01,8.14
Passenger,Large,133.26,66.0,22.06,27.64,11.65,Medium,109.86,8.68
Container,Medium,58.43,70.0,12.52,11.93,5.11,Low,263.2,12.46
Cargo,Medium,93.79,89.0,6.42,31.77,2.77,Low,307.04,13.04
Cargo,Large,160.66,67.0,35.84,42.69,8.08,Medium,100.14,7.95
Container,Large,136.58,74.0,23.82,11.2,6.49,Medium,72.47,9.06
Passenger,Small,24.96,71.0,33.0,25.39,9.15,Medium,265.58,2.98
Cargo,Medium,76.75,74.0,21.81,32.43,7.35,Medium,346.92,8.6
Container,Medium,87.26,88.0,8.8,28.23,2.94,Low,232.53,12.23
Passenger,Medium,55.79,75.0,13.5,18.28,7.55,Medium,35.02,6.15
Container,Small,49.67,82.0,15.26,32.11,4.02,Medium,462.61,6.22
Passenger,Small,27.75,64.0,38.92,1.41,14.12,High,347.48,1.09
Tanker,Large,118.18,92.0,0.23,18.5,0.95,Low,310.6,17.43
Passenger,Large,140.74,75.0,39.43,26.63,11.69,High,321.81,5.54
Cargo,Medium,71.68,86.0,39.22,1.03,8.82,Medium,199.3,6.73
Container,Large,116.59,89.0,39.85,25.38,11.34,High,492.2,7.29
Container,Medium,79.75,68.0,19.06,32.71,7.34,Medium,66.34,5.92
Cargo,Small,47.42,95.0,38.55,37.96,15.01,High,369.57,0.51
Tanker,Large,139.35,85.0,15.82,5.67,5.56,Low,210.44,15.44
Container,Medium,93.33,77.0,1.05,49.53,2.85,Low,440.55,14.28
Passenger,Large,183.0,67.0,8.97,30.31,5.44,Medium,358.63,12.39
Passenger,Large,185.5,98.0,37.81,18.16,18.1,High,281.13,4.75
Container,Large,124.14,90.0,0.55,12.45,0.84,Low,468.85,19.13
Tanker,Medium,56.87,68.0,21.84,28.64,4.31,Medium,456.22,10.07
Passenger,Medium,99.39,74.0,3.02,44.09,3.67,Low,26.17,10.06
Tanker,Large,173.89,92.0,11.46,26.03,6.79,Medium,96.29,9.59
Tanker,Large,102.77,88.0,3.52,33.07,3.01,Low,338.02,17.04
Passenger,Large,174.17,91.0,34.38,17.88,11.45,High,460.92,7.39
Passenger,Medium,92.19,78.0,23.64,19.41,5.7,Medium,215.17,7.61
Container,Medium,61.93,89.0,36.08,14.31,15.24,High,19.15,0.58
Passenger,Large,124.78,75.0,27.53,35.28,14.18,High,321.65,5.72
Passenger,Small,43.95,68.0,38.84,17.96,15.12,High,97.34,0.0
Tanker,Large,148.38,85.0,20.4,9.54,7.65,Medium,276.16,11.19
Passenger,Small,45.23,99.0,25.55,18.47,5.45,Medium,192.34,3.13
Container,Small,25.03,72.0,23.05,42.69,7.74,Medium,279.01,3.41
Container,Small,26.36,78.0,19.37,36.91,9.39,Medium,466.22,5.42
Passenger,Large,170.99,87.0,33.84,16.73,4.45,Medium,242.9,10.36
Tanker,Large,185.54,82.0,25.78,45.34,11.46,High,17.26,2.83
Container,Large,144.04,94.0,32.05,3.74,13.22,High,290.46,5.91
Cargo,Large,141.0,90.0,31.45,2.49,7.48,Medium,162.87,9.66
Tanker,Medium,53.72,62.0,7.64,6.37,1.32,Low,389.07,14.45
Cargo,Small,28.7,100.0,26.01,5.82,11.41,Medium,234.96,3.19
Tanker,Large,168.51,90.0,7.99,4.39,1.47,Low,370.69,17.87
Passenger,Large,198.32,95.0,23.33,33.07,7.45,Medium,454.41,12.37
Cargo,Medium,66.64,86.0,27.1,30.04,11.88,High,181.14,2.67
Tanker,Small,30.96,94.0,39.89,32.38,18.64,High,494.69,1.44
Passenger,Small,30.07,64.0,1.22,34.42,2.26,Low,74.91,5.57
Container,Medium,86.69,74.0,3.65,37.84,3.03,Low,321.97,13.18
Tanker,Large,133.89,95.0,3.08,10.36,1.41,Low,17.38,14.47
Container,Medium,66.1,68.0,15.93,31.12,8.55,Medium,106.53,6.39
Container,Large,140.45,63.0,32.86,29.0,12.14,High,316.89,5.73
Tanker,Medium,77.78,92.0,33.76,47.18,13.55,High,23.1,0.24
Container,Small,48.2,93.0,29.48,11.62,8.65,Medium,50.89,1.34
Passenger,Small,35.41,67.0,35.88,2.94,9.09,Medium,145.51,2.09
Passenger,Small,33.37,94.0,12.91,32.67,5.41,Medium,287.82,4.44
Tanker,Large,184.13,87.0,3.53,37.01,2.72,Low,7.99,13.69
Tanker,Small,20.07,81.0,2.33,14.16,1.26,Low,241.18,7.69
Container,Large,167.08,93.0,34.09,28.54,18.39,High,312.87,5.01
Passenger,Medium,69.06,77.0,29.22,2.98,7.0,Medium,201.26,7.39
Tanker,Large,120.53,68.0,27.94,48.0,8.06,Medium,33.82,7.58
Tanker,Medium,98.13,71.0,13.59,5.5,3.56,Low,305.44,13.11
Cargo,Large,142.45,80.0,15.2,3.38,5.28,Low,302.92,16.47
Tanker,Large,155.67,81.0,38.32,2.21,17.91,High,253.02,4.78
Passenger,Small,25.57,92.0,2.55,21.36,2.13,Low,346.57,8.5
Cargo,Large,150.97,92.0,30.95,4.86,13.76,High,103.9,4.02
Passenger,Medium,84.29,83.0,12.39,37.23,7.36,Medium,339.27,8.89
Tanker,Large,120.16,91.0,1.56,44.94,2.98,Low,80.73,14.33
Cargo,Small,25.33,68.0,29.7,13.01,6.41,Medium,196.35,2.98
Passenger,Medium,55.59,62.0,13.24,31.44,5.32,Medium,33.78,6.11
Passenger,Small,24.9,95.0,28.89,2.12,7.45,Medium,409.56,5.26
Cargo,Medium,87.18,63.0,28.31,19.33,8.12,Medium,269.12,7.68
Cargo,Small,49.35,70.0,21.39,14.65,8.45,Medium,485.52,6.05
Container,Small,20.58,88.0,31.09,11.43,8.68,Medium,471.16,5.46
Cargo,Small,24.13,76.0,23.24,32.24,9.67,Medium,499.28,5.62
Cargo,Medium,92.48,95.0,11.47,6.51,3.23,Low,50.63,10.68
Tanker,Large,134.67,72.0,29.36,43.04,8.74,Medium,303.29,10.23
Passenger,Small,37.98,60.0,23.57,33.24,7.35,Medium,203.79,2.86
Cargo,Medium,50.87,72.0,0.51,35.54,1.99,Low,266.33,12.93
Cargo,Small,40.91,83.0,36.07,46.77,14.62,High,154.38,0.0
Container,Medium,50.48,75.0,21.83,47.12,13.04,High,24.03,0.9
Passenger,Small,23.45,81.0,34.75,27.58,16.43,High,353.88,0.61
Container,Large,169.61,95.0,35.31,24.77,11.63,High,482.91,7.41
Cargo,Large,188.99,96.0,17.8,16.77,4.34,Low,266.19,15.8
Container,Small,31.36,71.0,20.31,35.78,9.29,Medium,164.79,2.39
Container,Medium,68.23,78.0,16.63,26.91,7.84,Medium,469.14,10.14
Tanker,Large,152.97,82.0,17.98,46.64,7.47,Medium,182.33,9.64
Container,Medium,70.78,98.0,35.81,11.93,7.47,Medium,457.26,9.4
Container,Small,20.16,100.0,31.53,15.51,10.96,Medium,427.85,4.7
Tanker,Medium,52.02,69.0,5.06,15.8,1.81,Low,264.36,13.09
Tanker,Small,23.79,89.0,24.41,40.3,13.63,High,338.44,0.99
Passenger,Medium,92.4,75.0,39.84,4.95,14.25,High,350.16,3.99
Tanker,Small,46.78,60.0,23.82,22.78,6.3,Medium,320.55,4.33
Passenger,Medium,78.39,60.0,31.43,21.38,6.92,Medium,80.37,5.71
Tanker,Large,164.47,78.0,30.76,3.66,12.08,Medium,346.39,11.04
Passenger,Large,159.43,80.0,14.01,20.54,6.39,Medium,1.61,8.67
Passenger,Small,47.48,61.0,14.87,25.67,6.32,Medium,355.02,5.06
Container,Small,35.83,87.0,28.96,3.26,10.18,Medium,277.42,3.64
Container,Large,153.89,72.0,20.0,25.49,8.11,Medium,129.88,9.38
Cargo,Small,34.04,82.0,22.82,47.96,7.97,Medium,401.88,4.52
Container,Small,24.75,72.0,28.52,48.95,15.99,High,202.64,0.0
Container,Small,31.45,67.0,31.1,26.58,10.4,Medium,242.89,2.7
Tanker,Medium,96.63,76.0,10.86,25.75,2.46,Low,13.84,10.03
Passenger,Small,21.83,69.0,5.87,14.28,2.12,Low,200.66,7.02
Container,Medium,50.85,81.0,11.67,49.86,4.27,Medium,83.68,6.43
Passenger,Small,32.52,68.0,20.3,13.71,5.67,Medium,138.07,2.92
Cargo,Small,25.3,80.0,13.69,22.65,5.83,Medium,126.07,2.94
Tanker,Large,178.67,66.0,22.73,0.15,2.49,Low,23.01,13.64
Passenger,Small,43.86,87.0,2.14,17.46,1.83,Low,230.25,7.46
Cargo,Small,49.29,90.0,20.39,3.57,7.2,Medium,261.3,4.2
Container,Large,101.61,64.0,14.72,37.19,5.07,Medium,285.53,11.27
Container,Large,122.56,79.0,21.39,28.05,6.2,Medium,231.11,10.46
Cargo,Small,32.38,63.0,16.9,28.61,6.27,Medium,434.76,5.7
Container,Medium,77.52,84.0,11.37,14.33,2.98,Low,18.84,10.24
Tanker,Large,101.66,71.0,36.16,40.74,5.72,Medium,306.9,10.27
Cargo,Medium,83.26,81.0,7.39,0.16,0.83,Low,433.07,15.08
Container,Small,32.73,81.0,27.25,16.68,7.46,Medium,20.52,1.16
Passenger,Medium,99.19,97.0,36.99,32.97,7.19,Medium,248.15,6.85
Passenger,Large,140.95,82.0,21.55,45.4,4.62,Medium,294.51,10.9
Tanker,Medium,51.64,83.0,35.06,11.73,16.14,High,95.45,1.35
Passenger,Medium,75.45,76.0,4.99,27.06,2.4,Low,126.25,11.43
Container,Medium,76.6,98.0,19.75,26.9,7.29,Medium,392.8,9.27
Container,Large,126.07,91.0,18.28,43.71,5.33,Medium,283.7,10.92
Container,Medium,62.29,71.0,0.32,2.53,0.16,Low,157.89,12.7
Passenger,Large,153.34,94.0,17.73,21.22,8.12,Medium,382.38,12.1
Passenger,Medium,71.03,77.0,14.76,9.12,2.67,Low,373.36,13.75
Tanker,Medium,50.74,93.0,26.79,1.08,3.01,Low,172.7,11.26
Passenger,Medium,87.53,93.0,37.53,7.35,12.94,High,244.32,3.13
Cargo,Large,160.07,68.0,3.43,48.82,2.8,Low,332.26,16.69
Passenger,Small,35.67,88.0,13.1,10.74,4.13,Low,171.62,6.23
Cargo,Large,153.62,72.0,17.76,46.75,6.17,Medium,314.5,11.1
Cargo,Small,22.63,72.0,18.21,10.26,4.66,Low,125.54,5.47
Cargo,Medium,80.57,72.0,30.99,46.56,5.48,Medium,146.01,6.03
Cargo,Medium,94.26,89.0,17.74,32.73,10.25,Medium,155.34,6.59
Passenger,Medium,64.48,69.0,1.09,5.66,0.62,Low,468.03,15.65
Passenger,Large,171.15,60.0,28.4,29.1,10.8,Medium,416.84,11.49
Container,Large,171.65,89.0,35.39,15.93,13.77,High,282.58,5.36
Container,Medium,90.36,67.0,20.56,19.16,9.57,Medium,281.94,8.05
Passenger,Small,43.73,64.0,23.24,22.01,9.08,Medium,28.07,1.17
Tanker,Small,21.96,70.0,6.52,21.14,3.7,Low,324.75,7.93
Tanker,Medium,92.0,75.0,8.83,33.21,4.13,Low,164.06,11.32
Cargo,Large,125.33,79.0,9.41,38.42,4.26,Low,306.15,16.2
Tanker,Large,150.69,62.0,17.23,16.46,8.22,Medium,420.12,12.59
Cargo,Medium,95.31,99.0,37.13,46.22,18.88,High,22.75,0.0
Passenger,Small,47.94,89.0,20.87,46.92,5.58,Medium,303.53,3.9
Container,Large,177.66,73.0,7.68,2.03,2.54,Low,282.1,16.94
Passenger,Large,164.51,73.0,10.64,0.75,4.01,Low,103.38,14.89
Passenger,Large,135.86,78.0,15.36,21.25,3.11,Low,323.22,16.53
Container,Medium,83.02,85.0,24.93,29.53,13.24,High,277.42,3.61
Cargo,Medium,90.96,66.0,17.6,13.9,6.12,Medium,383.66,9.67
Cargo,Medium,66.37,68.0,15.7,12.97,6.27,Medium,55.31,6.48
Passenger,Small,28.58,94.0,22.59,33.92,5.57,Medium,221.8,3.25
Container,Small,34.12,70.0,9.67,30.09,3.49,Low,498.97,9.36
Passenger,Large,180.05,75.0,3.16,8.36,0.89,Low,344.64,17.83
Tanker,Small,20.33,95.0,0.98,44.23,2.41,Low,342.15,8.05
Passenger,Small,48.7,87.0,10.05,34.0,4.68,Medium,158.94,3.34
Container,Medium,78.49,74.0,3.66,18.13,2.49,Low,46.94,10.87
Tanker,Large,111.49,87.0,13.45,34.18,5.93,Medium,474.75,13.2
Container,Medium,64.89,61.0,30.92,5.63,6.4,Medium,52.74,5.83
Passenger,Small,28.53,89.0,28.65,23.41,4.55,Medium,496.35,6.01
Passenger,Medium,54.73,79.0,24.44,8.45,8.95,Medium,62.89,5.94
Cargo,Small,39.61,93.0,34.1,2.07,9.24,Medium,85.45,1.58
Passenger,Medium,60.54,98.0,11.28,16.92,6.42,Medium,154.18,7.6
Tanker,Small,38.72,97.0,35.4,7.54,14.96,High,256.19,0.15
Cargo,Small,30.62,96.0,15.97,31.68,8.34,Medium,395.2,5.09
Container,Medium,77.39,80.0,16.04,33.7,3.37,Low,485.5,14.24
Tanker,Large,159.88,74.0,16.21,7.43,7.04,Medium,179.41,10.53
Tanker,Large,168.17,79.0,3.92,1.23,0.76,Low,10.21,14.61
Container,Medium,53.63,88.0,39.02,39.64,15.03,High,308.34,2.84
Passenger,Medium,93.15,95.0,5.54,0.1,1.55,Low,355.39,14.32
Container,Small,39.86,68.0,13.64,17.2,5.34,Low,198.72,6.23
Container,Small,46.2,97.0,12.77,24.73,3.2,Low,91.74,5.26
Container,Medium,95.93,93.0,2.99,40.93,2.89,Low,153.01,11.47
Passenger,Large,164.51,99.0,6.09,41.93,2.8,Low,327.9,16.66
Tanker,Medium,99.27,95.0,1.79,36.25,2.02,Low,247.09,12.65
Container,Large,108.89,71.0,11.7,12.36,4.87,Low,371.71,17.2
Cargo,Small,43.42,64.0,34.67,36.01,18.47,High,109.09,0.0
Tanker,Small,44.81,64.0,13.58,12.33,6.2,Medium,420.99,6.06
Container,Large,197.91,72.0,4.95,10.73,1.96,Low,77.94,14.92
Cargo,Small,48.57,85.0,25.83,27.36,4.53,Medium,164.96,2.76
Passenger,Large,139.43,92.0,39.86,33.94,6.4,Medium,295.6,10.04
Tanker,Medium,80.58,96.0,9.29,2.65,1.65,Low,368.43,14.2
Cargo,Small,49.05,85.0,11.18,3.0,5.63,Low,133.09,5.95
Tanker,Large,169.97,60.0,38.87,39.21,12.05,High,474.06,6.81
Container,Medium,67.81,67.0,7.15,42.97,5.28,Medium,353.06,9.39
Passenger,Small,27.41,64.0,20.45,30.22,9.32,Medium,108.84,1.93
Cargo,Large,144.79,75.0,9.59,21.44,4.35,Low,362.88,17.09
Passenger,Small,46.55,80.0,37.29,42.27,19.98,High,348.17,0.0
Cargo,Small,48.72,62.0,39.26,36.44,9.37,High,376.34,1.13
Passenger,Large,138.11,74.0,32.59,28.98,10.64,High,457.94,7.31
Passenger,Large,112.22,67.0,12.59,15.99,6.41,Medium,355.86,12.37
Passenger,Large,111.22,86.0,16.14,9.9,5.67,Low,175.96,14.99
Cargo,Small,28.47,79.0,9.69,20.93,2.97,Low,395.26,8.55
Passenger,Small,44.52,80.0,35.63,14.34,7.26,Medium,347.93,4.08
Tanker,Large,194.72,77.0,36.58,16.96,15.52,High,287.13,5.15
Tanker,Small,29.91,98.0,16.75,25.78,3.05,Low,176.92,5.91
Passenger,Large,164.39,69.0,26.26,8.45,12.65,Medium,460.52,12.26
Container,Medium,72.61,81.0,6.62,40.31,2.73,Low,256.38,12.35
Container,Medium,64.38,89.0,17.4,7.28,6.5,Medium,314.05,9.07
Passenger,Large,103.9,82.0,25.26,24.05,9.84,Medium,207.68,9.75
Container,Medium,93.79,97.0,15.42,37.3,6.97,Medium,390.41,9.29
Container,Medium,65.17,75.0,14.3,24.25,5.36,Medium,170.52,7.57
Container,Small,48.87,79.0,0.04,18.05,0.92,Low,405.32,9.4
Passenger,Large,190.88,64.0,32.17,23.74,12.89,High,53.97,3.17
Tanker,Large,112.1,84.0,35.57,42.43,16.8,High,354.48,5.24
Container,Large,162.5,72.0,38.78,49.52,8.15,High,238.44,4.64
Tanker,Large,138.58,66.0,28.77,31.56,5.03,Medium,349.38,11.32
Container,Medium,97.66,82.0,21.95,39.67,4.43,Medium,265.7,7.92
Tanker,Small,26.58,81.0,10.77,0.72,1.75,Low,67.15,5.74
Passenger,Large,175.55,63.0,39.97,44.02,16.86,High,238.5,3.82
Passenger,Small,41.55,88.0,23.59,47.7,9.41,Medium,482.28,5.15
Passenger,Small,48.56,85.0,27.25,28.76,12.36,High,377.42,1.6
Container,Large,154.1,68.0,27.3,37.69,6.71,Medium,150.09,9.11
Passenger,Medium,82.94,79.0,33.81,25.64,9.63,Medium,472.06,9.15
Container,Large,117.87,89.0,0.39,14.31,0.89,Low,389.47,18.3
Container,Large,180.5,81.0,8.81,42.61,6.31,Medium,182.22,10.3
Cargo,Medium,58.21,76.0,26.62,29.84,13.97,High,301.79,3.69
Cargo,Small,33.32,73.0,35.81,28.97,16.75,High,213.34,0.0
Container,Medium,64.56,84.0,27.41,32.96,11.93,High,48.35,1.26
Tanker,Large,150.99,98.0,16.54,42.8,9.84,Medium,403.01,11.76
Passenger,Medium,64.17,87.0,14.46,36.6,7.41,Medium,95.54,6.36
Container,Medium,50.16,63.0,29.52,10.56,14.74,High,229.02,3.13
Cargo,Medium,89.2,78.0,29.65,23.34,4.43,Medium,351.32,8.72
Tanker,Small,38.08,96.0,24.28,49.01,13.83,High,466.11,2.08
Tanker,Medium,82.9,64.0,11.66,27.73,5.14,Medium,31.36,6.26
Cargo,Medium,63.17,100.0,37.01,46.91,7.7,Medium,196.62,6.01
Cargo,Large,185.95,98.0,22.08,40.67,6.14,Medium,307.32,10.94
Passenger,Small,33.53,63.0,31.62,33.3,15.61,High,389.65,1.09
Cargo,Large,190.62,97.0,8.57,17.47,3.47,Low,460.47,18.28
Container,Large,164.96,75.0,13.76,15.22,7.55,Medium,0.25,8.66
Tanker,Small,40.22,94.0,34.98,32.17,6.75,Medium,313.88,3.47
Container,Large,184.61,77.0,2.0,21.63,1.61,Low,3.47,14.14
Cargo,Large,167.92,78.0,20.49,39.94,6.77,Medium,393.63,11.84
Passenger,Large,187.03,85.0,19.27,38.02,7.81,Medium,74.83,8.64
Passenger,Large,155.76,91.0,30.05,15.61,11.4,Medium,447.31,11.92
Container,Small,38.02,61.0,11.28,35.14,5.87,Medium,77.56,2.32
Cargo,Large,171.3,84.0,8.76,24.73,2.12,Low,382.16,17.48
Tanker,Medium,68.55,67.0,37.05,16.16,5.83,Medium,144.65,6.29
Cargo,Medium,80.48,74.0,22.87,20.65,3.64,Medium,278.63,8.47
Passenger,Small,47.64,74.0,4.19,44.77,4.11,Low,304.22,7.33
Cargo,Small,42.98,79.0,7.72,17.98,2.64,Low,103.38,5.82
Tanker,Small,26.87,73.0,39.95,14.37,10.58,High,149.35,0.0
Cargo,Small,42.44,64.0,7.82,17.59,3.07,Low,53.75,5.29
Tanker,Small,28.69,66.0,24.42,10.73,11.27,Medium,2.64,0.86
Cargo,Large,139.69,61.0,16.81,27.23,3.14,Low,119.73,14.3
Passenger,Small,40.3,79.0,35.42,7.37,5.59,Medium,258.0,3.5
